"","Vivian-Wiebke","Vivian-Wiebke.l1","Vivian-Wiebke.l2","Kyrill","Kyrill.l1","Kyrill.l2"
"1988",0,0,0,0,0,0
"1988.08333333333",0,0,0,0,0,0
"1988.16666666667",0,0,0,0,0,0
"1988.25",0,0,0,0,0,0
"1988.33333333333",0,0,0,0,0,0
"1988.41666666667",0,0,0,0,0,0
"1988.5",0,0,0,0,0,0
"1988.58333333333",0,0,0,0,0,0
"1988.66666666667",0,0,0,0,0,0
"1988.75",0,0,0,0,0,0
"1988.83333333333",0,0,0,0,0,0
"1988.91666666667",0,0,0,0,0,0
"1989",0,0,0,0,0,0
"1989.08333333333",0,0,0,0,0,0
"1989.16666666667",0,0,0,0,0,0
"1989.25",0,0,0,0,0,0
"1989.33333333333",0,0,0,0,0,0
"1989.41666666667",0,0,0,0,0,0
"1989.5",0,0,0,0,0,0
"1989.58333333333",0,0,0,0,0,0
"1989.66666666667",0,0,0,0,0,0
"1989.75",0,0,0,0,0,0
"1989.83333333333",0,0,0,0,0,0
"1989.91666666667",0,0,0,0,0,0
"1990",1,0,0,0,0,0
"1990.08333333333",1,0,0,0,0,0
"1990.16666666667",1,0,0,0,0,0
"1990.25",1,0,0,0,0,0
"1990.33333333333",1,0,0,0,0,0
"1990.41666666667",1,0,0,0,0,0
"1990.5",1,0,0,0,0,0
"1990.58333333333",1,0,0,0,0,0
"1990.66666666667",1,0,0,0,0,0
"1990.75",1,0,0,0,0,0
"1990.83333333333",1,0,0,0,0,0
"1990.91666666667",1,0,0,0,0,0
"1991",0,1,0,0,0,0
"1991.08333333333",0,1,0,0,0,0
"1991.16666666667",0,1,0,0,0,0
"1991.25",0,1,0,0,0,0
"1991.33333333333",0,1,0,0,0,0
"1991.41666666667",0,1,0,0,0,0
"1991.5",0,1,0,0,0,0
"1991.58333333333",0,1,0,0,0,0
"1991.66666666667",0,1,0,0,0,0
"1991.75",0,1,0,0,0,0
"1991.83333333333",0,1,0,0,0,0
"1991.91666666667",0,1,0,0,0,0
"1992",0,0,1,0,0,0
"1992.08333333333",0,0,1,0,0,0
"1992.16666666667",0,0,1,0,0,0
"1992.25",0,0,1,0,0,0
"1992.33333333333",0,0,1,0,0,0
"1992.41666666667",0,0,1,0,0,0
"1992.5",0,0,1,0,0,0
"1992.58333333333",0,0,1,0,0,0
"1992.66666666667",0,0,1,0,0,0
"1992.75",0,0,1,0,0,0
"1992.83333333333",0,0,1,0,0,0
"1992.91666666667",0,0,1,0,0,0
"1993",0,0,0,0,0,0
"1993.08333333333",0,0,0,0,0,0
"1993.16666666667",0,0,0,0,0,0
"1993.25",0,0,0,0,0,0
"1993.33333333333",0,0,0,0,0,0
"1993.41666666667",0,0,0,0,0,0
"1993.5",0,0,0,0,0,0
"1993.58333333333",0,0,0,0,0,0
"1993.66666666667",0,0,0,0,0,0
"1993.75",0,0,0,0,0,0
"1993.83333333333",0,0,0,0,0,0
"1993.91666666667",0,0,0,0,0,0
"1994",0,0,0,0,0,0
"1994.08333333333",0,0,0,0,0,0
"1994.16666666667",0,0,0,0,0,0
"1994.25",0,0,0,0,0,0
"1994.33333333333",0,0,0,0,0,0
"1994.41666666667",0,0,0,0,0,0
"1994.5",0,0,0,0,0,0
"1994.58333333333",0,0,0,0,0,0
"1994.66666666667",0,0,0,0,0,0
"1994.75",0,0,0,0,0,0
"1994.83333333333",0,0,0,0,0,0
"1994.91666666667",0,0,0,0,0,0
"1995",0,0,0,0,0,0
"1995.08333333333",0,0,0,0,0,0
"1995.16666666667",0,0,0,0,0,0
"1995.25",0,0,0,0,0,0
"1995.33333333333",0,0,0,0,0,0
"1995.41666666667",0,0,0,0,0,0
"1995.5",0,0,0,0,0,0
"1995.58333333333",0,0,0,0,0,0
"1995.66666666667",0,0,0,0,0,0
"1995.75",0,0,0,0,0,0
"1995.83333333333",0,0,0,0,0,0
"1995.91666666667",0,0,0,0,0,0
"1996",0,0,0,0,0,0
"1996.08333333333",0,0,0,0,0,0
"1996.16666666667",0,0,0,0,0,0
"1996.25",0,0,0,0,0,0
"1996.33333333333",0,0,0,0,0,0
"1996.41666666667",0,0,0,0,0,0
"1996.5",0,0,0,0,0,0
"1996.58333333333",0,0,0,0,0,0
"1996.66666666667",0,0,0,0,0,0
"1996.75",0,0,0,0,0,0
"1996.83333333333",0,0,0,0,0,0
"1996.91666666667",0,0,0,0,0,0
"1997",0,0,0,0,0,0
"1997.08333333333",0,0,0,0,0,0
"1997.16666666667",0,0,0,0,0,0
"1997.25",0,0,0,0,0,0
"1997.33333333333",0,0,0,0,0,0
"1997.41666666667",0,0,0,0,0,0
"1997.5",0,0,0,0,0,0
"1997.58333333333",0,0,0,0,0,0
"1997.66666666667",0,0,0,0,0,0
"1997.75",0,0,0,0,0,0
"1997.83333333333",0,0,0,0,0,0
"1997.91666666667",0,0,0,0,0,0
"1998",0,0,0,0,0,0
"1998.08333333333",0,0,0,0,0,0
"1998.16666666667",0,0,0,0,0,0
"1998.25",0,0,0,0,0,0
"1998.33333333333",0,0,0,0,0,0
"1998.41666666667",0,0,0,0,0,0
"1998.5",0,0,0,0,0,0
"1998.58333333333",0,0,0,0,0,0
"1998.66666666667",0,0,0,0,0,0
"1998.75",0,0,0,0,0,0
"1998.83333333333",0,0,0,0,0,0
"1998.91666666667",0,0,0,0,0,0
"1999",0,0,0,0,0,0
"1999.08333333333",0,0,0,0,0,0
"1999.16666666667",0,0,0,0,0,0
"1999.25",0,0,0,0,0,0
"1999.33333333333",0,0,0,0,0,0
"1999.41666666667",0,0,0,0,0,0
"1999.5",0,0,0,0,0,0
"1999.58333333333",0,0,0,0,0,0
"1999.66666666667",0,0,0,0,0,0
"1999.75",0,0,0,0,0,0
"1999.83333333333",0,0,0,0,0,0
"1999.91666666667",0,0,0,0,0,0
"2000",0,0,0,0,0,0
"2000.08333333333",0,0,0,0,0,0
"2000.16666666667",0,0,0,0,0,0
"2000.25",0,0,0,0,0,0
"2000.33333333333",0,0,0,0,0,0
"2000.41666666667",0,0,0,0,0,0
"2000.5",0,0,0,0,0,0
"2000.58333333333",0,0,0,0,0,0
"2000.66666666667",0,0,0,0,0,0
"2000.75",0,0,0,0,0,0
"2000.83333333333",0,0,0,0,0,0
"2000.91666666667",0,0,0,0,0,0
"2001",0,0,0,0,0,0
"2001.08333333333",0,0,0,0,0,0
"2001.16666666667",0,0,0,0,0,0
"2001.25",0,0,0,0,0,0
"2001.33333333333",0,0,0,0,0,0
"2001.41666666667",0,0,0,0,0,0
"2001.5",0,0,0,0,0,0
"2001.58333333333",0,0,0,0,0,0
"2001.66666666667",0,0,0,0,0,0
"2001.75",0,0,0,0,0,0
"2001.83333333333",0,0,0,0,0,0
"2001.91666666667",0,0,0,0,0,0
"2002",0,0,0,0,0,0
"2002.08333333333",0,0,0,0,0,0
"2002.16666666667",0,0,0,0,0,0
"2002.25",0,0,0,0,0,0
"2002.33333333333",0,0,0,0,0,0
"2002.41666666667",0,0,0,0,0,0
"2002.5",0,0,0,0,0,0
"2002.58333333333",0,0,0,0,0,0
"2002.66666666667",0,0,0,0,0,0
"2002.75",0,0,0,0,0,0
"2002.83333333333",0,0,0,0,0,0
"2002.91666666667",0,0,0,0,0,0
"2003",0,0,0,0,0,0
"2003.08333333333",0,0,0,0,0,0
"2003.16666666667",0,0,0,0,0,0
"2003.25",0,0,0,0,0,0
"2003.33333333333",0,0,0,0,0,0
"2003.41666666667",0,0,0,0,0,0
"2003.5",0,0,0,0,0,0
"2003.58333333333",0,0,0,0,0,0
"2003.66666666667",0,0,0,0,0,0
"2003.75",0,0,0,0,0,0
"2003.83333333333",0,0,0,0,0,0
"2003.91666666667",0,0,0,0,0,0
"2004",0,0,0,0,0,0
"2004.08333333333",0,0,0,0,0,0
"2004.16666666667",0,0,0,0,0,0
"2004.25",0,0,0,0,0,0
"2004.33333333333",0,0,0,0,0,0
"2004.41666666667",0,0,0,0,0,0
"2004.5",0,0,0,0,0,0
"2004.58333333333",0,0,0,0,0,0
"2004.66666666667",0,0,0,0,0,0
"2004.75",0,0,0,0,0,0
"2004.83333333333",0,0,0,0,0,0
"2004.91666666667",0,0,0,0,0,0
"2005",0,0,0,0,0,0
"2005.08333333333",0,0,0,0,0,0
"2005.16666666667",0,0,0,0,0,0
"2005.25",0,0,0,0,0,0
"2005.33333333333",0,0,0,0,0,0
"2005.41666666667",0,0,0,0,0,0
"2005.5",0,0,0,0,0,0
"2005.58333333333",0,0,0,0,0,0
"2005.66666666667",0,0,0,0,0,0
"2005.75",0,0,0,0,0,0
"2005.83333333333",0,0,0,0,0,0
"2005.91666666667",0,0,0,0,0,0
"2006",0,0,0,0,0,0
"2006.08333333333",0,0,0,0,0,0
"2006.16666666667",0,0,0,0,0,0
"2006.25",0,0,0,0,0,0
"2006.33333333333",0,0,0,0,0,0
"2006.41666666667",0,0,0,0,0,0
"2006.5",0,0,0,0,0,0
"2006.58333333333",0,0,0,0,0,0
"2006.66666666667",0,0,0,0,0,0
"2006.75",0,0,0,0,0,0
"2006.83333333333",0,0,0,0,0,0
"2006.91666666667",0,0,0,0,0,0
"2007",0,0,0,1,0,0
"2007.08333333333",0,0,0,1,0,0
"2007.16666666667",0,0,0,1,0,0
"2007.25",0,0,0,1,0,0
"2007.33333333333",0,0,0,1,0,0
"2007.41666666667",0,0,0,1,0,0
"2007.5",0,0,0,1,0,0
"2007.58333333333",0,0,0,1,0,0
"2007.66666666667",0,0,0,1,0,0
"2007.75",0,0,0,1,0,0
"2007.83333333333",0,0,0,1,0,0
"2007.91666666667",0,0,0,1,0,0
"2008",0,0,0,0,1,0
"2008.08333333333",0,0,0,0,1,0
"2008.16666666667",0,0,0,0,1,0
"2008.25",0,0,0,0,1,0
"2008.33333333333",0,0,0,0,1,0
"2008.41666666667",0,0,0,0,1,0
"2008.5",0,0,0,0,1,0
"2008.58333333333",0,0,0,0,1,0
"2008.66666666667",0,0,0,0,1,0
"2008.75",0,0,0,0,1,0
"2008.83333333333",0,0,0,0,1,0
"2008.91666666667",0,0,0,0,1,0
"2009",0,0,0,0,0,1
"2009.08333333333",0,0,0,0,0,1
"2009.16666666667",0,0,0,0,0,1
"2009.25",0,0,0,0,0,1
"2009.33333333333",0,0,0,0,0,1
"2009.41666666667",0,0,0,0,0,1
"2009.5",0,0,0,0,0,1
"2009.58333333333",0,0,0,0,0,1
"2009.66666666667",0,0,0,0,0,1
"2009.75",0,0,0,0,0,1
"2009.83333333333",0,0,0,0,0,1
"2009.91666666667",0,0,0,0,0,1
"2010",0,0,0,0,0,0
"2010.08333333333",0,0,0,0,0,0
"2010.16666666667",0,0,0,0,0,0
"2010.25",0,0,0,0,0,0
"2010.33333333333",0,0,0,0,0,0
"2010.41666666667",0,0,0,0,0,0
"2010.5",0,0,0,0,0,0
"2010.58333333333",0,0,0,0,0,0
"2010.66666666667",0,0,0,0,0,0
"2010.75",0,0,0,0,0,0
"2010.83333333333",0,0,0,0,0,0
"2010.91666666667",0,0,0,0,0,0
"2011",0,0,0,0,0,0
"2011.08333333333",0,0,0,0,0,0
"2011.16666666667",0,0,0,0,0,0
"2011.25",0,0,0,0,0,0
"2011.33333333333",0,0,0,0,0,0
"2011.41666666667",0,0,0,0,0,0
"2011.5",0,0,0,0,0,0
"2011.58333333333",0,0,0,0,0,0
"2011.66666666667",0,0,0,0,0,0
"2011.75",0,0,0,0,0,0
"2011.83333333333",0,0,0,0,0,0
"2011.91666666667",0,0,0,0,0,0
"2012",0,0,0,0,0,0
"2012.08333333333",0,0,0,0,0,0
"2012.16666666667",0,0,0,0,0,0
"2012.25",0,0,0,0,0,0
"2012.33333333333",0,0,0,0,0,0
"2012.41666666667",0,0,0,0,0,0
"2012.5",0,0,0,0,0,0
"2012.58333333333",0,0,0,0,0,0
"2012.66666666667",0,0,0,0,0,0
"2012.75",0,0,0,0,0,0
"2012.83333333333",0,0,0,0,0,0
"2012.91666666667",0,0,0,0,0,0
"2013",0,0,0,0,0,0
"2013.08333333333",0,0,0,0,0,0
"2013.16666666667",0,0,0,0,0,0
"2013.25",0,0,0,0,0,0
"2013.33333333333",0,0,0,0,0,0
"2013.41666666667",0,0,0,0,0,0
"2013.5",0,0,0,0,0,0
"2013.58333333333",0,0,0,0,0,0
"2013.66666666667",0,0,0,0,0,0
"2013.75",0,0,0,0,0,0
"2013.83333333333",0,0,0,0,0,0
"2013.91666666667",0,0,0,0,0,0
"2014",0,0,0,0,0,0
"2014.08333333333",0,0,0,0,0,0
"2014.16666666667",0,0,0,0,0,0
"2014.25",0,0,0,0,0,0
"2014.33333333333",0,0,0,0,0,0
"2014.41666666667",0,0,0,0,0,0
"2014.5",0,0,0,0,0,0
"2014.58333333333",0,0,0,0,0,0
"2014.66666666667",0,0,0,0,0,0
"2014.75",0,0,0,0,0,0
"2014.83333333333",0,0,0,0,0,0
"2014.91666666667",0,0,0,0,0,0
"2015",0,0,0,0,0,0
"2015.08333333333",0,0,0,0,0,0
"2015.16666666667",0,0,0,0,0,0
"2015.25",0,0,0,0,0,0
"2015.33333333333",0,0,0,0,0,0
"2015.41666666667",0,0,0,0,0,0
"2015.5",0,0,0,0,0,0
"2015.58333333333",0,0,0,0,0,0
"2015.66666666667",0,0,0,0,0,0
"2015.75",0,0,0,0,0,0
"2015.83333333333",0,0,0,0,0,0
"2015.91666666667",0,0,0,0,0,0
"2016",0,0,0,0,0,0
"2016.08333333333",0,0,0,0,0,0
"2016.16666666667",0,0,0,0,0,0
"2016.25",0,0,0,0,0,0
"2016.33333333333",0,0,0,0,0,0
"2016.41666666667",0,0,0,0,0,0
"2016.5",0,0,0,0,0,0
"2016.58333333333",0,0,0,0,0,0
"2016.66666666667",0,0,0,0,0,0
"2016.75",0,0,0,0,0,0
"2016.83333333333",0,0,0,0,0,0
"2016.91666666667",0,0,0,0,0,0
"2017",0,0,0,0,0,0
"2017.08333333333",0,0,0,0,0,0
"2017.16666666667",0,0,0,0,0,0
"2017.25",0,0,0,0,0,0
"2017.33333333333",0,0,0,0,0,0
"2017.41666666667",0,0,0,0,0,0
"2017.5",0,0,0,0,0,0
"2017.58333333333",0,0,0,0,0,0
"2017.66666666667",0,0,0,0,0,0
"2017.75",0,0,0,0,0,0
"2017.83333333333",0,0,0,0,0,0
"2017.91666666667",0,0,0,0,0,0
